Method,Avg VaR (%),Avg ES (%),Exceedances,Exceedance Rate (%)
Historical Simulation,-3.8000396078869363,-4.27104419619574,49,1.6937435188385759
Parametric Normal,-3.2661589651229503,-3.7563267490474916,87,3.0072589007950223
Parametric Student-t,-3.888570878991318,-6.293225783587962,63,2.1776702385067406
"GARCH(1,1) Normal",-3.0792364051626886,-3.547964613801005,82,2.834427929484964
