Date,Actual_Return,HS_VaR,HS_ES,Normal_VaR,Normal_ES,StudentT_VaR,StudentT_ES,GARCH_VaR,GARCH_ES
2014-07-01,0.014009489032132016,-0.025219432238426782,-0.025757728518018635,-0.021934569386620983,-0.025189223983730337,-0.023055106231789874,-0.02812412248992881,-0.017374514242563494,-0.019993556566927053
2014-07-02,0.0012696932684869455,-0.025212227752553433,-0.025757728518018635,-0.02191453962161131,-0.02518225336211144,-0.022900594227376465,-0.02777471927311092,-0.019234348481959283,-0.02214219323224612
2014-07-03,0.005167963706202656,-0.025205023266680088,-0.025757728518018635,-0.021818438165545493,-0.025073028584891913,-0.022899048054412736,-0.027908814800197097,-0.018497301103964584,-0.02130055894855785
2014-07-07,-0.00021609133998803974,-0.025212227752553433,-0.025757728518018635,-0.02175072802645392,-0.025011597330526814,-0.02287037937309644,-0.027988800349717805,-0.017691456847145886,-0.020395005511463008
2014-07-08,-0.012449885764558301,-0.025212227752553433,-0.025757728518018635,-0.02173350175584404,-0.02497854062979868,-0.023049250046990963,-0.028445514842683685,-0.017063425694220122,-0.019668331714788684
2014-07-09,0.010216229665262467,-0.025212227752553433,-0.025757728518018635,-0.02200456085203093,-0.02527359111333193,-0.023014774870208803,-0.027931054780354958,-0.018974960197722702,-0.021834563237831908
2014-07-10,-0.0040350785893274186,-0.025212227752553433,-0.025757728518018635,-0.021761350328567356,-0.025021127911720425,-0.0228906600365727,-0.028022598236328067,-0.019174236743222328,-0.022085078353945835
2014-07-11,0.013453103304736326,-0.025212227752553433,-0.025757728518018635,-0.021810146973754458,-0.025072839934467635,-0.02287519914326363,-0.027896807350032127,-0.01870413807922067,-0.02154241887327944
2014-07-14,0.01254621842521595,-0.025212227752553433,-0.025757728518018635,-0.021508012154293137,-0.024759817317229812,-0.022650199993465035,-0.02780469623985776,-0.019616908776727615,-0.02261662846047472
2014-07-15,-0.0020099942656599465,-0.025212227752553433,-0.025757728518018635,-0.02132668573495844,-0.024542834193606484,-0.022371925827079923,-0.027401917516730056,-0.020595356439956632,-0.023730626836774692
2014-07-16,0.008546064121824057,-0.025212227752553433,-0.025757728518018635,-0.021340171118854674,-0.024543700366523022,-0.022509927525893373,-0.027701765036461375,-0.019941140295547277,-0.022969547817874116
2014-07-17,-0.006036589802165964,-0.025212227752553433,-0.025757728518018635,-0.021348257287855808,-0.024560479941052375,-0.022407580816444207,-0.027443247020841055,-0.019589105012795704,-0.0225778152901794
2014-07-18,0.005130723145893567,-0.025212227752553433,-0.025757728518018635,-0.021364790420048036,-0.024578483461171242,-0.022403639070301753,-0.02740587976243311,-0.01931425125858375,-0.022262309829343817
2014-07-21,-0.0020891662952934845,-0.025205023266680088,-0.025757728518018635,-0.021259537441848914,-0.024463064964215568,-0.022342072669296463,-0.027420663207661927,-0.018740695766332482,-0.021611411172685013
2014-07-22,0.005348506743516445,-0.025205023266680088,-0.025757728518018635,-0.021304706653919016,-0.02450569187433252,-0.022409350042247627,-0.027493184895752112,-0.01813761780901718,-0.020917053331535276
2014-07-23,-0.00031822145468647016,-0.025205023266680088,-0.025757728518018635,-0.021168492304493997,-0.024364000494383573,-0.022374577821690375,-0.027660847379023468,-0.017547104168290736,-0.0202544898300582
