pair,scenario_no,label,delta_F,delta_sigma,weight,Long Call (K=4.65),Short Put (K=4.65),portfolio_pnl,weighted_loss,Short Call (K=4.65),Long Put (K=4.65),Long Futures (HGK26)
P3,12,"S12: ΔF=+PSR, vol↓",0.28,-0.06,1.00,3301.32,,10301.32,-10301.32,,,7000.00
P3,13,"S13: ΔF=−PSR, vol↑",-0.28,0.06,1.00,-1692.73,,-8692.73,8692.73,,,-7000.00
P3,14,"S14: ΔF=−PSR, vol↓",-0.28,-0.06,1.00,-3761.97,,-10761.97,10761.97,,,-7000.00
P3,15,S15: ΔF=+2PSR (35%),0.56,0.00,0.35,10003.01,,24003.01,-8401.05,,,14000.00
P3,16,S16: ΔF=−2PSR (35%),-0.56,0.00,0.35,-4123.05,,-18123.05,6343.07,,,-14000.00
P4,1,"S1: ΔF=0, vol↑",0.00,0.06,1.00,,,1303.64,-1303.64,,1303.64,0.00
P4,2,"S2: ΔF=0, vol↓",0.00,-0.06,1.00,,,-1304.64,1304.64,,-1304.64,0.00
P4,3,"S3: ΔF=+⅓PSR, vol↑",0.09,0.06,1.00,,,2609.80,-2609.80,,276.47,2333.33
P4,4,"S4: ΔF=+⅓PSR, vol↓",0.09,-0.06,1.00,,,21.87,-21.87,,-2311.46,2333.33
P4,5,"S5: ΔF=−⅓PSR, vol↑",-0.09,0.06,1.00,,,132.53,-132.53,,2465.86,-2333.33
P4,6,"S6: ΔF=−⅓PSR, vol↓",-0.09,-0.06,1.00,,,-2400.07,2400.07,,-66.73,-2333.33
P4,7,"S7: ΔF=+⅔PSR, vol↑",0.19,0.06,1.00,,,4045.74,-4045.74,,-620.93,4666.67
P4,8,"S8: ΔF=+⅔PSR, vol↓",0.19,-0.06,1.00,,,1566.13,-1566.13,,-3100.53,4666.67
P4,9,"S9: ΔF=−⅔PSR, vol↑",-0.19,0.06,1.00,,,-900.94,900.94,,3765.73,-4666.67
P4,10,"S10: ΔF=−⅔PSR, vol↓",-0.19,-0.06,1.00,,,-3265.11,3265.11,,1401.56,-4666.67
P4,11,"S11: ΔF=+PSR, vol↑",0.28,0.06,1.00,,,5603.93,-5603.93,,-1396.07,7000.00
P4,12,"S12: ΔF=+PSR, vol↓",0.28,-0.06,1.00,,,3303.87,-3303.87,,-3696.13,7000.00
P4,13,"S13: ΔF=−PSR, vol↑",-0.28,0.06,1.00,,,-1797.21,1797.21,,5202.79,-7000.00
P4,14,"S14: ΔF=−PSR, vol↓",-0.28,-0.06,1.00,,,-3915.16,3915.16,,3084.84,-7000.00
P4,15,S15: ΔF=+2PSR (35%),0.56,0.00,0.35,,,10021.67,-3507.58,,-3978.33,14000.00
P4,16,S16: ΔF=−2PSR (35%),-0.56,0.00,0.35,,,-4415.07,1545.27,,9584.93,-14000.00
