Date,Actual_Return,HS_VaR_90,HS_VaR_95,HS_VaR_99,Normal_VaR_90,Normal_VaR_95,Normal_VaR_99,StudentT_VaR_90,StudentT_VaR_95,StudentT_VaR_99,GARCH_VaR_90,GARCH_VaR_95,GARCH_VaR_99
2014-07-01,0.0140095904188081,-0.010792272182645182,-0.017037106606846236,-0.025219432425173053,-0.011899781448075533,-0.01538912916433131,-0.021934565172908167,-0.01117054219522391,-0.014943524738468536,-0.023055076763221896,-0.00929952282054632,-0.012107443561500677,-0.017374635891302073
2014-07-02,0.001269615556843,-0.010726015666595022,-0.01690966106736151,-0.02521222780637036,-0.011839488279584112,-0.015342837262228869,-0.021914537318026117,-0.01116682503365123,-0.014925748725276987,-0.022900549117689274,-0.010268910719012505,-0.013386457095473259,-0.01923445562420422
2014-07-03,0.0051681688111809,-0.010659759150544863,-0.016782215527876787,-0.025205023187567666,-0.011783849355872336,-0.015273128675169306,-0.021818436382426417,-0.011068617394206105,-0.014833675741035448,-0.02289900311730963,-0.009854329783762078,-0.012859748192291293,-0.018497413300982597
2014-07-07,-0.0002162268232009,-0.010726015666595022,-0.01690966106736151,-0.02521222780637036,-0.011696780837002303,-0.015192792419295678,-0.021750728732303534,-0.010927131965893514,-0.014712540664981677,-0.02287034356084783,-0.009355923313401777,-0.012254446475291402,-0.01769159387884231
2014-07-08,-0.0124498691068315,-0.010726015666595022,-0.01690966106736151,-0.02521222780637036,-0.011728364022362802,-0.015207403369452008,-0.02173350259183864,-0.010893468030775707,-0.01469975168068868,-0.023049236308801777,-0.009032038728226778,-0.01182480838264982,-0.017063579793868317
2014-07-09,0.0102162571260983,-0.011322730614708102,-0.01690966106736151,-0.02521222780637036,-0.01192545047846073,-0.015430211190410308,-0.02200455941560125,-0.011237739920264504,-0.015004187966288596,-0.02301473487101892,-0.0101582488786327,-0.013224071660943354,-0.018975045329106283
2014-07-10,-0.004035071835918,-0.010726015666595022,-0.01690966106736151,-0.02521222780637036,-0.011710772656047329,-0.015205614389973929,-0.021761356262001087,-0.01093747700935616,-0.014723668474697109,-0.022890572900174808,-0.010199541386726348,-0.013320296001158175,-0.0191743126507666
2014-07-11,0.0134530299292519,-0.010726015666595022,-0.01690966106736151,-0.02521222780637036,-0.011750579849253548,-0.015248547156643746,-0.021810152084680134,-0.011016212398606952,-0.01479041904613454,-0.0228751303469783,-0.009953161315915218,-0.012996122529902844,-0.018704211697957933
2014-07-14,0.0125461542769084,-0.010232845506243331,-0.016666577091507706,-0.02521222780637036,-0.011482015455106477,-0.014968309837942187,-0.02150801830081736,-0.010697353331739521,-0.014477715250092747,-0.02265015233191141,-0.010368160629997495,-0.013584195820635117,-0.01961694298526501
2014-07-15,-0.0020098895626688,-0.010232845506243331,-0.016666577091507706,-0.02521222780637036,-0.011410625903078382,-0.014858692152088895,-0.02132669099355992,-0.010613405055861778,-0.014342622833217881,-0.02237191505170519,-0.01092866176244567,-0.014290017746129093,-0.020595362550474176
2014-07-16,0.008546008075194,-0.010232845506243331,-0.016666577091507706,-0.02521222780637036,-0.011463017629578654,-0.014897554388595592,-0.02134017415690373,-0.01063434764987814,-0.014372595614837369,-0.022509909660360646,-0.010603929913744488,-0.013850717947691953,-0.019941152331921258
2014-07-17,-0.0060364173947868,-0.010232845506243331,-0.016666577091507706,-0.02521222780637036,-0.01144429901424473,-0.014888156004442028,-0.0213482589764137,-0.01065274688079569,-0.014378946152691651,-0.0224075418165329,-0.01037428554149633,-0.013578512767408391,-0.01958911015397442
2014-07-18,0.0051304325599613,-0.010232845506243331,-0.016666577091507706,-0.02521222780637036,-0.011456299535792722,-0.014901733034855974,-0.02136479327527383,-0.010675755403565211,-0.014398983344502745,-0.02240360896631558,-0.010224755198831008,-0.013385395501761712,-0.019314231069677185
2014-07-21,-0.0020890457206941,-0.01022305399024314,-0.016458103560071716,-0.025205023187567666,-0.01138238991266191,-0.01481692445714911,-0.021259540071367756,-0.010568353621969874,-0.014291727396270607,-0.022342070892825576,-0.009889657184730784,-0.01296737444698082,-0.018740660181360544
2014-07-22,0.0053486117113299,-0.01022305399024314,-0.016458103560071716,-0.025205023187567666,-0.011435395611089454,-0.014867204814954337,-0.02130470814341199,-0.010636360379527247,-0.014358108812034615,-0.02240933606304304,-0.009568008669784066,-0.012547863107833013,-0.01813757445940111
2014-07-23,-0.0003184334963597,-0.01022305399024314,-0.016458103560071716,-0.025205023187567666,-0.011316068323246513,-0.014742005773428326,-0.021168494668497292,-0.010434988480181543,-0.014176992867299565,-0.022374534288126136,-0.009199647669317633,-0.012102259195154006,-0.017547075689540587
2014-07-24,-0.0007559708478714,-0.01022305399024314,-0.016458103560071716,-0.025205023187567666,-0.01131132043414145,-0.014737049101259886,-0.021163146354024293,-0.010426085755189511,-0.014169192943903161,-0.022374242977795115,-0.008786221339191706,-0.01157926360504563,-0.016818546389970945
2014-07-25,-0.02049777485381,-0.010119067771693361,-0.012987995467043016,-0.025205023187567666,-0.010998928641668057,-0.014373600447065342,-0.020703923518415362,-0.010043135550348683,-0.013769408614213307,-0.022103597370835445,-0.008404441540407977,-0.011109271121235978,-0.016183081579545053
2014-07-28,-0.0007874790668769,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011291284457918325,-0.014722474039649613,-0.02115881506003288,-0.010224418530407012,-0.014043252381367258,-0.022689708083914992,-0.01112684979632774,-0.014540345822031868,-0.020943496673891546
2014-07-29,-0.0034842514178022,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011234401849830574,-0.014659950733606639,-0.0210857107427202,-0.010104685632463712,-0.013942669346917113,-0.02273523990064777,-0.010706075474549846,-0.01400368878530632,-0.0201894629361693
2014-07-30,0.0024481293115663,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011148338481754174,-0.01456186079630383,-0.020965060961665668,-0.009946144052746428,-0.013804255076113646,-0.022784647332970597,-0.010417320435107413,-0.01363511686573502,-0.019671167823677473
2014-07-31,-0.0229515316569295,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011126816368812756,-0.01450244502101693,-0.020834562977845205,-0.009812967720700025,-0.013674207452563043,-0.02286241603329015,-0.010167576960610375,-0.013291815841491868,-0.019152368395497808
2014-08-01,-0.0055550198433286,-0.010659759150544863,-0.01905363723746962,-0.025205023187567666,-0.011493667798661285,-0.014941796140332204,-0.021409911457307633,-0.009952160700296293,-0.013966624373994685,-0.02380204361574339,-0.012125889463242405,-0.01577232070146446,-0.022612419272973115
2014-08-04,0.0071260441374711,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011015192421122581,-0.01437046052331398,-0.02066438547444461,-0.009720455373291496,-0.013560873120652012,-0.02270833211085027,-0.011686816551540156,-0.015295239633320001,-0.022064041224410948
2014-08-05,-0.0074349997132346,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011007870698218172,-0.014367548825752504,-0.02066974625100312,-0.009734952175020739,-0.013565724589862107,-0.022629207434075836,-0.011425559583777284,-0.014953872811798434,-0.02157240164016322
2014-08-06,-0.0005891725656715,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011091927758735591,-0.014461637377558678,-0.02078265221214779,-0.00990357118608698,-0.01370885219629021,-0.022555893109552905,-0.011366030391716568,-0.014858210652522108,-0.021408960043598945
2014-08-07,-0.0034103886324503,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.0111208913798661,-0.014469357005314256,-0.020750521641382184,-0.009865379286768276,-0.013687683582384584,-0.022747610117723006,-0.01110417073053012,-0.014492246814398776,-0.020847714082919733
2014-08-08,0.0211396240625261,-0.01022305399024314,-0.017730466856435548,-0.025205023187567666,-0.011165223405036057,-0.014485751999217056,-0.02071451141078503,-0.009859414021209927,-0.013680556620679525,-0.022874922841575822,-0.010997863605567617,-0.014318481632402427,-0.020547408804755567
