Date,AAPL,MSFT,IBM,NVDA,GOOGL,AMZN
2014-01-02,17.140668869018555,30.76092529296875,109.04898834228516,0.3738436698913574,27.62751579284668,19.898500442504883
2014-01-03,16.7641544342041,30.553977966308594,109.70134735107422,0.36936521530151367,27.42597770690918,19.82200050354004
2014-01-06,16.855571746826172,29.908296585083008,109.32520294189453,0.37431517243385315,27.73175811767578,19.681499481201172
2014-01-07,16.735027313232422,30.140073776245117,111.50579071044922,0.3804437518119812,28.26637840270996,19.901500701904297
2014-01-08,16.84101104736328,29.602020263671875,110.48310089111328,0.3856295943260193,28.3252010345459,20.09600067138672
2014-01-09,16.625944137573242,29.411609649658203,110.1363525390625,0.37125077843666077,28.052431106567383,20.050500869750977
2014-01-10,16.515005111694336,29.833786010742188,110.06580352783203,0.370779424905777,28.050939559936523,19.882999420166016
2014-01-13,16.601465225219727,28.956329345703125,108.24372100830078,0.36205804347991943,27.872238159179688,19.548999786376953
2014-01-14,16.931798934936523,29.618560791015625,109.27821350097656,0.373372346162796,28.527978897094727,19.87700080871582
2014-01-15,17.271739959716797,30.4298038482666,110.34793090820312,0.37737947702407837,28.50861930847168,19.793500900268555
2014-01-16,17.175378799438477,30.53740882873535,110.94745635986328,0.37855806946754456,28.69725227355957,19.790000915527344
2014-01-17,16.754545211791992,30.115238189697266,111.72920227050781,0.37690794467926025,28.5560245513916,19.980499267578125
2014-01-21,17.01485252380371,29.941408157348633,110.75352478027344,0.3783222436904907,28.88290786743164,20.352500915527344
2014-01-22,17.09046745300293,29.742727279663086,107.12107849121094,0.3778509497642517,28.915666580200195,20.226999282836914
2014-01-23,17.23517608642578,29.850345611572266,107.40318298339844,0.37643662095069885,28.793554306030273,19.993499755859375
2014-01-24,16.92188835144043,30.471195220947266,105.58697509765625,0.36677229404449463,27.89333724975586,19.3799991607666
2014-01-27,17.05916404724121,29.82550811767578,104.56429290771484,0.3644152581691742,27.33240509033203,19.31399917602539
2014-01-28,15.695669174194336,30.024185180664062,103.9471435546875,0.3679508864879608,27.87298583984375,19.721500396728516
2014-01-29,15.517486572265625,30.347026824951172,103.6826400756836,0.3644152581691742,27.473630905151367,19.209999084472656
2014-01-30,15.487420082092285,30.512582778930664,104.24686431884766,0.3705437183380127,28.180253982543945,20.15049934387207
2014-01-31,15.51284122467041,31.323827743530273,103.84721374511719,0.37007230520248413,29.31154441833496,17.934499740600586
2014-02-03,15.541655540466309,30.198017120361328,101.62541198730469,0.3651222884654999,28.131608963012695,17.3075008392334
2014-02-04,15.766633987426758,30.090404510498047,101.59015655517578,0.3672437071800232,28.249004364013672,17.397499084472656
2014-02-05,15.884392738342285,29.65167808532715,102.41302490234375,0.3639436960220337,28.374095916748047,17.322500228881836
2014-02-06,15.976982116699219,29.949682235717773,103.22856140136719,0.3686579763889313,28.790077209472656,17.72949981689453
2014-02-07,16.200489044189453,30.264245986938477,104.75334167480469,0.37407949566841125,29.22393035888672,18.054000854492188
2014-02-10,16.490726470947266,30.462915420532227,104.68836212158203,0.37525805830955505,29.111995697021484,18.043500900268555
2014-02-11,16.7080078125,30.769207000732422,106.20130920410156,0.3830365538597107,29.540136337280273,18.089500427246094
