Date,EW_Portfolio
2014-01-03,-0.007703614318221459
2014-01-06,-0.00034492401123385383
2014-01-07,0.011123999403769215
2014-01-08,0.0007379867372195987
2014-01-09,-0.012065022577918567
2014-01-10,-0.00046637255861488617
2014-01-13,-0.014742975356720544
2014-01-14,0.020415390237779055
2014-01-15,0.010404457690058377
2014-01-16,0.0021482136226262903
2014-01-17,-0.005238173757287395
2014-01-21,0.005738631604982126
2014-01-22,-0.006978153277177603
2014-01-23,-0.0008200922390928945
2014-01-24,-0.017291946308341858
2014-01-27,-0.00887400104708682
2014-01-28,-0.005410621547589113
2014-01-29,-0.008939127654907671
2014-01-30,0.01646641386795369
2014-01-31,-0.009062896030181712
2014-02-03,-0.024418934351082888
2014-02-04,0.004266499627766818
2014-02-05,-0.0013512265033733288
2014-02-06,0.012398770042268645
2014-02-07,0.014449439821280144
2014-02-10,0.0037341584069047968
2014-02-11,0.0125175117637473
2014-02-12,0.0013035931962494954
2014-02-13,0.015484280749541822
2014-02-14,0.0072673322264699535
2014-02-18,-0.00019771486634993036
2014-02-19,-0.004411799294676088
2014-02-20,0.007492932929139457
2014-02-21,-0.0049305789991829
2014-02-24,0.006046732782279751
2014-02-25,0.0007340388656113532
2014-02-26,-0.0006251473306764608
2014-02-27,0.004250261965318959
2014-02-28,0.0007643331702036124
2014-03-03,-0.006338086493425253
2014-03-04,0.011116957467274854
2014-03-05,0.0053993650049771165
2014-03-06,-0.00213588567706547
2014-03-07,-0.0020438073807370824
2014-03-10,-0.004949196817942803
2014-03-11,0.002103246666756776
2014-03-12,0.0030595434243915033
2014-03-13,-0.01312253286756028
2014-03-14,-0.004806663961343427
2014-03-17,0.008750011479116918
2014-03-18,0.01699618470083239
2014-03-19,-0.004330178238133663
2014-03-20,0.004373593270467529
2014-03-21,-0.006551192455770947
2014-03-24,-0.0037149295312402337
2014-03-25,0.008492047945281413
2014-03-26,-0.01909646527747592
2014-03-27,-0.012233995034003419
2014-03-28,0.006105291486235981
2014-03-31,0.0028710563830965617
2014-04-01,0.018004526375617967
2014-04-02,-0.002367466555488031
2014-04-03,-0.004614166476306134
2014-04-04,-0.026137370047129967
2014-04-07,-0.004151615892308653
2014-04-08,0.014799572766961434
2014-04-09,0.012784893305629194
2014-04-10,-0.025377901909515305
2014-04-11,-0.010262202244150453
2014-04-14,0.009063177582218016
2014-04-15,0.002915918164732946
2014-04-16,0.011390900202195225
2014-04-17,-0.010164601761884495
2014-04-21,0.00679405693748145
2014-04-22,0.0027908730113005275
2014-04-23,-0.006756380105802694
2014-04-24,0.019382485402291247
2014-04-25,-0.02465754511815294
2014-04-28,0.008574266624644472
