Date,AAPL,MSFT,IBM,NVDA,GOOGL,AMZN
2014-01-03,-0.022210993998532606,-0.006750336426885022,0.005964433751966635,-0.012051817155358866,-0.007321569383471293,-0.0038519168555408954
2014-01-06,0.00543832733427826,-0.021358969135150837,-0.0034346957340288444,0.013312251646657674,0.011087603172259375,-0.007113375515583215
2014-01-07,-0.007177302843077288,0.00771972131174681,0.01974957055986703,0.01624018975739136,0.019094797155960148,0.011116059171065328
2014-01-08,0.0063130786896618074,-0.018013029828507374,-0.009213948024230884,0.013538969226061378,0.002078848252863988,0.009725682651672687
2014-01-09,-0.012852670294562383,-0.006453128711561457,-0.0031434094516919636,-0.037999521648354045,-0.009676605634377387,-0.00226668921924171
2014-01-10,-0.006695006798401674,0.01425202760155579,-0.0006407658753610079,-0.0012704431495068665,-5.317137325226796e-05,-0.008389068361873763
2014-01-13,0.005221589685752339,-0.02985269967030688,-0.01669304016518199,-0.02380280368703056,-0.00639098192537145,-0.016940942813231524
2014-01-14,0.019702489685337193,0.02261240819277903,0.009511687126156835,0.030771628734513713,0.023254176014168616,0.01663920179405759
2014-01-15,0.019878189769414266,0.0270212993251497,0.009741334477295025,0.010675082739632835,-0.0006788479669399666,-0.00420967863582884
2014-01-16,-0.00559474435602567,0.003529933138734106,0.005418340850395368,0.003118229551966146,0.006594905157517309,-0.00017684058204954012
2014-01-17,-0.024807315756864817,-0.013921155226515368,0.007021383625134236,-0.004368502041403935,-0.004933447182197569,0.009579955398884225
2014-01-21,0.015417063104067966,-0.0057888852727971275,-0.008770871859751263,0.003745349924522695,0.011382065483571836,0.018447038174050297
2014-01-22,0.004434208689258145,-0.006657769610720554,-0.0333474654791877,-0.0012465239216200251,0.001133547551625439,-0.006185489334300846
2014-01-23,0.008431567527625505,0.0036117771303746725,0.002630048954479688,-0.003750109443604606,-0.00423199116344389,-0.011611101596180912
2014-01-24,-0.018344464063748903,0.020585400334725928,-0.017054796565866216,-0.02600849232165069,-0.03176370121896543,-0.031165645360523072
2014-01-27,0.008079587469282348,-0.021417813908341694,-0.009732896430243746,-0.006447166756464055,-0.02031485414592847,-0.0034113842758354573
2014-01-28,-0.08330271459152033,0.006639225093202095,-0.005919590461345825,0.009655432088575508,0.01958497239335557,0.020879252424284803
