ticker,quantity,comp_var,marg_var,comp_es,marg_es,pct_comp_var,pct_comp_es
INTC,-3.0,1545.7707998569203,-515.2569332856401,2473.28401642631,-824.4280054754367,17.18538184706516,24.455359532278393
JPM,6.0,5690.889106865936,948.4815178109893,6212.404130655868,1035.4006884426449,63.26947200700601,61.42706440747633
AA,6.0,875.3619925776075,145.89366542960124,703.6947323634491,117.28245539390817,9.7319926720355,6.957998987024669
PG,-2.0,441.0286580865577,-220.51432904327885,724.0812598235018,-362.0406299117509,4.903214561575226,7.159577073220621
PORTFOLIO,,8994.684049577287,,10113.464139269128,,100.0,100.0
